,name,title
2203.02146v3,2203.02146v3,Attention Concatenation Volume for Accurate and Efficient Stereo Matching
1901.02609v3,1901.02609v3,Sequential Attention-based Network for Noetic End-to-End Response Selection
1905.11614v3,1905.11614v3,Uncertainty-based Continual Learning with Adaptive Regularization
1101.3132v1,1101.3132v1,Reactive Valuations
2002.08718v1,2002.08718v1,Automatic Gesture Recognition in Robot-assisted Surgery with Reinforcement Learning and Tree Search
2308.06748v1,2308.06748v1,Target before Shooting: Accurate Anomaly Detection and Localization under One Millisecond via Cascade Patch Retrieval
1402.2390v1,1402.2390v1,A Distributed Optimization Framework For Multi-channel Multi-user Small Cell Networks
1807.10165v1,1807.10165v1,UNet++: A Nested U-Net Architecture for Medical Image Segmentation
2006.10219v3,2006.10219v3,Sequential Graph Convolutional Network for Active Learning
1506.00001v2,1506.00001v2,A Security-assured Accuracy-maximised Privacy Preserving Collaborative Filtering Recommendation Algorithm
2210.10239v1,2210.10239v1,GSV-Cities: Toward Appropriate Supervised Visual Place Recognition
1311.3226v1,1311.3226v1,Using Social Information for Flow Allocation in MANETs
1005.1195v1,1005.1195v1,The Impact of Topology on Byzantine Containment in Stabilization
2010.13302v1,2010.13302v1,AdaFuse: Adaptive Multiview Fusion for Accurate Human Pose Estimation in the Wild
2002.12041v4,2002.12041v4,Attention-guided Chained Context Aggregation for Semantic Segmentation
2309.06284v1,2309.06284v1,Fg-T2M: Fine-Grained Text-Driven Human Motion Generation via Diffusion Model
1412.8299v1,1412.8299v1,Loading Large Sparse Matrices Stored in Files in the Adaptive-Blocking Hierarchical Storage Format
1601.07661v2,1601.07661v2,DehazeNet: An End-to-End System for Single Image Haze Removal
1502.05292v3,1502.05292v3,Dynamic subtrees queries revisited: the Depth First Tour Tree
2303.09857v1,2303.09857v1,Dual-path Adaptation from Image to Video Transformers
0811.4713v2,0811.4713v2,Compact Labelings For Efficient First-Order Model-Checking
1906.01213v3,1906.01213v3,Progressive Self-Supervised Attention Learning for Aspect-Level Sentiment Analysis
1405.1671v1,1405.1671v1,Multi-Message Broadcast with Abstract MAC Layers and Unreliable Links
2203.05550v3,2203.05550v3,Back to the Feature: Classical 3D Features are (Almost) All You Need for 3D Anomaly Detection
1611.06067v1,1611.06067v1,An End-to-End Spatio-Temporal Attention Model for Human Action Recognition from Skeleton Data
1208.1476v2,1208.1476v2,Using Tableau to Decide Description Logics with Full Role Negation and Identity
1311.7435v1,1311.7435v1,Experimenting with BitTorrent on a Cluster: A Good or a Bad Idea?
0709.1942v1,0709.1942v1,Connecting Polygonizations via Stretches and Twangs
1512.04143v1,1512.04143v1,Inside-Outside Net: Detecting Objects in Context with Skip Pooling and Recurrent Neural Networks
2103.11395v3,2103.11395v3,ScanMix: Learning from Severe Label Noise via Semantic Clustering and Semi-Supervised Learning
1507.01922v1,1507.01922v1,Cyber-Deception and Attribution in Capture-the-Flag Exercises
1905.09381v1,1905.09381v1,Learning to Prove Theorems via Interacting with Proof Assistants
2110.05382v1,2110.05382v1,SignBERT: Pre-Training of Hand-Model-Aware Representation for Sign Language Recognition
1603.07936v1,1603.07936v1,OptEx: A Deadline-Aware Cost Optimization Model for Spark
2302.00402v1,2302.00402v1,"mPLUG-2: A Modularized Multi-modal Foundation Model Across Text, Image and Video"
2107.13802v5,2107.13802v5,RigNet: Repetitive Image Guided Network for Depth Completion
2210.16810v3,2210.16810v3,SL3D: Self-supervised-Self-labeled 3D Recognition
2202.13084v2,2202.13084v2,Visual Speech Recognition for Multiple Languages in the Wild
1105.0608v1,1105.0608v1,A simpler and more efficient algorithm for the next-to-shortest path problem
1108.3637v1,1108.3637v1,Systems of Word Equations and Polynomials: a New Approach
2103.03529v1,2103.03529v1,A Hybrid CNN-BiLSTM Voice Activity Detector
2004.00584v3,2004.00584v3,Deep Entity Matching with Pre-Trained Language Models
1605.03757v1,1605.03757v1,The Dynamics of Emotions in Online Interaction
2001.09849v4,2001.09849v4,Graph-based Interpolation of Feature Vectors for Accurate Few-Shot Classification
1504.03213v1,1504.03213v1,A Sharing- and Competition-Aware Framework for Cellular Network Evolution Planning
2101.09666v1,2101.09666v1,Grad-CAM guided channel-spatial attention module for fine-grained visual classification
1503.02434v1,1503.02434v1,Distributed execution of bigraphical reactive systems
1109.5851v2,1109.5851v2,A decidable characterization of locally testable tree languages
1907.05611v2,1907.05611v2,GRN: Gated Relation Network to Enhance Convolutional Neural Network for Named Entity Recognition
2203.10209v1,2203.10209v1,SwinTextSpotter: Scene Text Spotting via Better Synergy between Text Detection and Text Recognition
1509.03075v3,1509.03075v3,Modeling Dense Urban Wireless Networks with 3D Stochastic Geometry
1102.3730v1,1102.3730v1,Swapping: a natural bridge between named and indexed explicit substitution calculi
1605.01235v1,1605.01235v1,On the evaluation of uncertainties for state estimation with the Kalman filter
1507.03173v1,1507.03173v1,A Gauss-Seidel Iterative Thresholding Algorithm for lq Regularized Least Squares Regression
0803.2129v4,0803.2129v4,Comparison of the Discriminatory Processor Sharing Policies
